,Admin2,Confirmed,2019
0,Appling,9,"18,386"
1,Atkinson,2,"8,165"
2,Bacon,14,"11,164"
3,Baker,14,"3,038"
4,Baldwin,52,"44,890"
5,Banks,7,"19,234"
6,Barrow,55,"83,240"
7,Bartow,212,"107,738"
8,Berrien,6,"19,397"
9,Bibb,67,"153,159"
10,Bleckley,1,"12,873"
11,Brantley,8,"19,109"
12,Brooks,18,"15,457"
13,Bryan,29,"39,627"
14,Bulloch,16,"79,608"
15,Burke,28,"22,383"
16,Butts,28,"24,936"
17,Calhoun,43,"6,189"
18,Camden,20,"54,666"
19,Candler,4,"10,803"
20,Carroll,204,"119,992"
21,Catoosa,12,"67,580"
22,Charlton,3,"13,392"
23,Chatham,147,"289,430"
24,Chattahoochee,3,"10,907"
25,Chattooga,6,"24,789"
26,Cherokee,186,"258,773"
27,Clarke,83,"128,331"
28,Clay,15,"2,834"
29,Clayton,362,"292,256"
30,Clinch,3,"6,618"
31,Cobb,714,"760,141"
32,Coffee,56,"43,273"
33,Colquitt,87,"45,600"
34,Columbia,68,"156,714"
35,Cook,7,"17,270"
36,Coweta,103,"148,509"
37,Crawford,3,"12,404"
38,Crisp,70,"22,372"
39,Dade,2,"16,116"
40,Dawson,26,"26,108"
41,DeKalb,869,"759,297"
42,Decatur,29,"26,404"
43,Dodge,13,"20,605"
44,Dooly,40,"13,390"
45,Dougherty,1154,"87,956"
46,Douglas,153,"146,343"
47,Early,121,"10,190"
48,Echols,2,"4,006"
49,Effingham,22,"64,296"
50,Elbert,3,"19,194"
51,Emanuel,8,"22,646"
52,Fannin,9,"26,188"
53,Fayette,99,"114,421"
54,Floyd,108,"98,498"
55,Forsyth,130,"244,252"
56,Franklin,4,"23,349"
57,Fulton,1467,"1,063,937"
58,Gilmer,7,"31,369"
59,Glynn,33,"85,292"
60,Gordon,35,"57,963"
61,Grady,15,"24,633"
62,Greene,25,"18,324"
63,Gwinnett,690,"936,250"
64,Habersham,14,"45,328"
65,Hall,279,"204,441"
66,Hancock,3,"8,457"
67,Haralson,16,"29,792"
68,Harris,19,"35,236"
69,Hart,3,"26,205"
70,Heard,4,"11,923"
71,Henry,260,"234,561"
72,Houston,115,"157,863"
73,Irwin,11,"9,416"
74,Jackson,27,"72,977"
75,Jasper,6,"14,219"
76,Jefferson,6,"15,362"
77,Jenkins,9,"8,676"
78,Johnson,19,"9,643"
79,Jones,11,"28,735"
80,Lamar,16,"19,077"
81,Lanier,5,"10,423"
82,Laurens,32,"47,546"
83,Lee,239,"29,992"
84,Liberty,17,"61,435"
85,Lincoln,8,"7,921"
86,Long,1,"19,559"
87,Lowndes,59,"117,406"
88,Lumpkin,9,"33,610"
89,Macon,21,"12,947"
90,Madison,10,"29,880"
91,Marion,10,"8,359"
92,McDuffie,22,"21,312"
93,McIntosh,3,"14,378"
94,Meriwether,23,"21,167"
95,Miller,10,"5,718"
96,Mitchell,136,"21,863"
97,Monroe,12,"27,578"
98,Montgomery,2,"9,172"
99,Morgan,14,"19,276"
100,Murray,14,"40,096"
101,Muscogee,146,"195,769"
102,Newton,79,"111,744"
103,Oconee,38,"40,280"
104,Oglethorpe,12,"15,259"
105,Paulding,80,"168,667"
106,Peach,22,"27,546"
107,Pickens,12,"32,591"
108,Pierce,45,"19,465"
109,Pike,16,"18,962"
110,Polk,22,"42,613"
111,Pulaski,9,"11,137"
112,Putnam,6,"22,119"
113,Quitman,3,"2,299"
114,Rabun,6,"17,137"
115,Randolph,105,"6,778"
116,Richmond,140,"202,518"
117,Rockdale,95,"90,896"
118,Schley,12,"5,257"
119,Screven,7,"13,966"
120,Seminole,15,"8,090"
121,Spalding,71,"66,703"
122,Stephens,17,"25,925"
123,Stewart,6,"6,621"
124,Sumter,227,"29,524"
125,Talbot,9,"6,195"
126,Tattnall,5,"25,286"
127,Taylor,7,"8,020"
128,Telfair,9,"15,860"
129,Terrell,107,"8,531"
130,Thomas,77,"44,451"
131,Tift,59,"40,644"
132,Toombs,11,"26,830"
133,Towns,3,"12,037"
134,Treutlen,1,"6,901"
135,Troup,57,"69,922"
136,Turner,38,"7,985"
137,Twiggs,2,"8,120"
138,Union,7,"24,511"
139,Upson,55,"26,320"
140,Walker,6,"69,761"
141,Walton,39,"94,593"
142,Ware,53,"35,734"
143,Warren,6,"5,254"
144,Washington,22,"20,374"
145,Wayne,4,"29,927"
146,Webster,3,"2,607"
147,Wheeler,2,"7,855"
148,White,11,"30,798"
149,Whitfield,24,"104,628"
150,Wilcox,22,"8,635"
151,Wilkes,6,"9,777"
152,Wilkinson,11,"8,954"
153,Worth,84,"20,247"
